	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	I_Samuel	II_Samuel	I_Kings	II_Kings	Isaiah	Jeremiah	Ezekiel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Psalms	Job	Proverbs	Ruth	Canticles	Ecclesiastes	Lamentations	Esther	Daniel	Ezra	Nehemiah	I_Chronicles	II_Chronicles
שׁמ	15.1	5.93	2.09	6.66	6.81	3.29	5.77	8.02	9.25	9.05	5.21	7.93	6.93	3.33	5.71	4.6	9.46	0	0	7.18	3.76	0	14.9	0	5.78	32.9	12.9	2.06	2.09	39.1	1.58	2.31	1.47	6.04	4.63	5.69	3.03	13.2	8.19
שׁמנ	0.267	3.31	8	4.62	0.757	0	0	0.729	0.544	1.77	1.59	1.32	0.252	1.9	2.28	0	1.35	0	0	3.59	0	0	0	3.91	0	0	1.19	0.294	1.49	0	4.73	2.31	0	0.755	0	0.569	0.433	0.72	0.546
שׁמנה	2.14	0.827	0	1.09	0.189	0.549	2.13	0.729	1.36	1.38	2.94	0.147	0.756	0.714	0	0	0	0	0	1.8	0	0	0	0	0	0	0.119	0	0	0	1.58	0.769	0	0.755	0	4.55	7.35	3.84	3.64
שׁמע	0.134	0.138	0	0.136	0.189	0.549	0	0	0	0.197	0	0.44	0.378	0	1.14	0	0	0	0	0	3.76	3.5	0	0	0	0	0.237	0.588	0	0	0	0	0	0.755	0	0	0	0	0.182
שׁנה	21.8	4.14	11.2	12.5	5.49	1.65	7.9	2.43	5.44	11.4	23.6	3.96	5.92	3.33	0	4.6	4.05	0	0	1.8	0	6.99	0	11.7	7.43	3.29	2.02	2.65	3.59	2.79	0	5.38	0	6.04	6.95	5.69	6.06	3.12	14.2
שׁנימ	8.42	15.6	7.81	11.8	4.73	7.14	6.08	7.29	5.72	11.2	9.51	1.61	1.39	4.29	1.14	0	4.05	0	4.55	0	0	0	0	11.7	9.91	0	0.237	1.47	2.39	25.1	6.31	3.85	0	7.55	2.32	10.2	9.95	10.8	5.46
שׁער	1.34	1.65	0	0.136	6.43	1.37	2.73	0.973	3.27	0.393	4.08	1.76	3.53	11.8	0	0	4.05	17.4	0	5.39	7.52	0	2.99	0	3.3	0	1.54	1.47	2.09	11.2	1.58	0	5.88	8.31	0	0	17.7	2.16	3.46
שׁפחה	3.74	0.138	0.19	0	0.189	0	0	1.46	1.91	0	0.679	0.294	0.756	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0.119	0	0.299	5.59	0	0.769	0	0.755	0	0	0	0	0.182
שׁרביט	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02	0	0	0	0	0
שׁשׁ	2.27	8.41	1.52	5.3	0.946	2.2	2.13	1.95	1.91	2.75	2.49	0.44	0.504	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588	0.598	5.59	4.73	0	0	3.02	0.772	11.4	6.49	7.2	4.91
